sep=,
HRV ANALYSIS RESULTS - 08-Jun-2024 09:52:50
Kubios HRV Scientific
4.1.1
released in April 2024

Analyzed by:  -  - 

File name: C:\Users\admin\Documents\gits\kubios\to be analyzed\HI006_00_record_full.csv
Measurement date:  00:00:00
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:29:08 (h:min:s)
Measurement rate: 64 Hz

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:00:00-00:29:08,
  Sample Analysis Type: Single sample
  Beat correction: Threshold (low)
  Beats total:                ,    1.87e+03,
  Beats corrected:            ,         614,
  Beats corrected (%):        ,        32.8,
  Effective data length (s):  ,        1414,
  Effective data length (%):  ,       80.87,


RESULTS FOR A SINGLE SAMPLE
STANDARD RESULTS

Results Overview              ,
  PNS index:                  ,      2.6612,            ,
  SNS index:                  ,     -0.2477,            ,
  Stress index:               ,      2.3738,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    755.0627,            ,
  SDNN (ms):                  ,    173.7999,            ,
  Mean HR (beats/min):        ,     79.4636,            ,
  SD HR (beats/min):          ,     29.1815,            ,
  Min HR (beats/min):         ,     28.4792,            ,
  Max HR (beats/min):         ,    299.4195,            ,
  RMSSD (ms):                 ,    167.9285,            ,
  NNxx (beats):               ,        1295,            ,
  pNNxx (%):                  ,     69.2884,            ,
  SDANN (ms):                 ,     53.9120,            ,
  SDNN index (ms):            ,    235.8623,            ,
 Geometric parameters         ,
  RR tri index:               ,   38.958333,            ,
  TINN (ms):                  ,   1188.0000,            ,
  DC (ms):                    ,    143.4441,            ,
  DCmod (ms):                 ,    179.3783,            ,
  AC (ms):                    ,   -147.5090,            ,
  ACmod (ms):                 ,   -181.4100,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.040000,    0.040000,
  LF (Hz):                    ,    0.040000,    0.083333,
  HF (Hz):                    ,    0.156667,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,   2861.4075,   4541.0101,
  LF (ms^2):                  ,  20461.8429,  18916.1841,
  HF (ms^2):                  ,  10042.4348,   8970.0720,
  VLF (log):                  ,      7.9591,      8.4209,
  LF (log):                   ,      9.9263,      9.8478,
  HF (log):                   ,      9.2146,      9.1016,
 Relative powers              ,
  VLF (%):                    ,      8.5719,     13.9982,
  LF (%):                     ,     61.2975,     58.3115,
  HF (%):                     ,     30.0841,     27.6514,
 Normalized powers            ,
  LF (n.u.):                  ,     67.0446,     67.8026,
