sep=,
HRV ANALYSIS RESULTS - 08-Jun-2024 09:52:36
Kubios HRV Scientific
4.1.1
released in April 2024

Analyzed by:  -  - 

File name: C:\Users\admin\Documents\gits\kubios\to be analyzed\HI006_00_record_full.csv
Measurement date:  00:00:00
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:29:08 (h:min:s)
Measurement rate: 64 Hz

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:00:00-00:29:08,
  Sample Analysis Type: Single sample
  Beat correction: Threshold (very low)
  Beats total:                ,    1.87e+03,
  Beats corrected:            ,         431,
  Beats corrected (%):        ,          23,
  Effective data length (s):  ,        1423,
  Effective data length (%):  ,       81.39,


RESULTS FOR A SINGLE SAMPLE
STANDARD RESULTS

Results Overview              ,
  PNS index:                  ,      4.3622,            ,
  SNS index:                  ,     -0.3467,            ,
  Stress index:               ,      2.3970,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    760.1592,            ,
  SDNN (ms):                  ,    198.4646,            ,
  Mean HR (beats/min):        ,     78.9308,            ,
  SD HR (beats/min):          ,     28.0671,            ,
  Min HR (beats/min):         ,     28.7410,            ,
  Max HR (beats/min):         ,    220.9163,            ,
  RMSSD (ms):                 ,    227.8731,            ,
  NNxx (beats):               ,        1378,            ,
  pNNxx (%):                  ,     73.7293,            ,
  SDANN (ms):                 ,     44.4365,            ,
  SDNN index (ms):            ,    251.1080,            ,
 Geometric parameters         ,
  RR tri index:               ,   49.210526,            ,
  TINN (ms):                  ,   1123.0000,            ,
  DC (ms):                    ,    159.3319,            ,
  DCmod (ms):                 ,    239.3180,            ,
  AC (ms):                    ,   -157.5997,            ,
  ACmod (ms):                 ,   -235.6276,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.036667,    0.040000,
  LF (Hz):                    ,    0.083333,    0.100000,
  HF (Hz):                    ,    0.160000,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,   3423.0234,   4724.4356,
  LF (ms^2):                  ,  22891.8030,  21424.7642,
  HF (ms^2):                  ,  17216.4335,  16915.8540,
  VLF (log):                  ,      8.1383,      8.4605,
  LF (log):                   ,     10.0385,      9.9723,
  HF (log):                   ,      9.7536,      9.7360,
 Relative powers              ,
  VLF (%):                    ,      7.8590,     10.9637,
  LF (%):                     ,     52.5577,     49.7192,
  HF (%):                     ,     39.5275,     39.2556,
 Normalized powers            ,
  LF (n.u.):                  ,     57.0405,     55.8415,
  HF (n.u.):                  ,     42.8989,     44.0895,
 Total power (ms^2):          ,  43555.5592,  43091.5560,
 LF/HF ratio:                 ,      1.3296,      1.2665,
 RESP (Hz):                   ,    0.149937,            ,

Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,  161.173741,            ,
  SD2 (ms):                   ,  229.753731,            ,
  SD2/SD1 ratio:              ,    1.425503,            ,
 Approximate entropy (ApEn):  ,      1.5320,            ,
 Sample entropy (SampEn):     ,      1.6539,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.8927,            ,
  alpha 2:                    ,      0.3408,            ,
 Correlation dimension (D2):  ,      0.0640,            ,
 Recurrence plot analysis (RPA),
