sep=,
HRV ANALYSIS RESULTS - 08-Jun-2024 09:50:34
Kubios HRV Scientific
4.1.1
released in April 2024

Analyzed by:  -  - 

File name: C:\Users\admin\Documents\gits\kubios\to be analyzed\HI005_00_record_full.csv
Measurement date:  00:00:00
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:18:26 (h:min:s)
Measurement rate: 64 Hz

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:00:00-00:18:26,
  Sample Analysis Type: Single sample
  Beat correction: Threshold (strong)
  Beats total:                ,    1.29e+03,
  Beats corrected:            ,         561,
  Beats corrected (%):        ,        43.5,
  Effective data length (s):  ,         953,
  Effective data length (%):  ,       86.22,


RESULTS FOR A SINGLE SAMPLE
STANDARD RESULTS

Results Overview              ,
  PNS index:                  ,     -0.5903,            ,
  SNS index:                  ,      0.6508,            ,
  Stress index:               ,      6.8333,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    738.0214,            ,
  SDNN (ms):                  ,     72.0383,            ,
  Mean HR (beats/min):        ,     81.2985,            ,
  SD HR (beats/min):          ,      8.4807,            ,
  Min HR (beats/min):         ,     44.6431,            ,
  Max HR (beats/min):         ,    146.0591,            ,
  RMSSD (ms):                 ,     53.0157,            ,
  NNxx (beats):               ,         396,            ,
  pNNxx (%):                  ,     30.7453,            ,
  SDANN (ms):                 ,     66.4583,            ,
  SDNN index (ms):            ,    144.1667,            ,
 Geometric parameters         ,
  RR tri index:               ,   15.530120,            ,
  TINN (ms):                  ,    374.0000,            ,
  DC (ms):                    ,     52.0108,            ,
  DCmod (ms):                 ,     60.3150,            ,
  AC (ms):                    ,    -49.7013,            ,
  ACmod (ms):                 ,    -58.2451,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.023333,    0.040000,
  LF (Hz):                    ,    0.056667,    0.070000,
  HF (Hz):                    ,    0.153333,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,   1185.3260,   1051.4770,
  LF (ms^2):                  ,   2935.7390,   2958.0480,
  HF (ms^2):                  ,   1062.7893,   1004.7043,
  VLF (log):                  ,      7.0778,      6.9580,
  LF (log):                   ,      7.9847,      7.9923,
  HF (log):                   ,      6.9687,      6.9124,
 Relative powers              ,
  VLF (%):                    ,     22.8583,     20.9647,
  LF (%):                     ,     56.6140,     58.9784,
  HF (%):                     ,     20.4953,     20.0321,
 Normalized powers            ,
  LF (n.u.):                  ,     73.3896,     74.6228,
  HF (n.u.):                  ,     26.5683,     25.3457,
 Total power (ms^2):          ,   5185.5364,   5015.4749,
 LF/HF ratio:                 ,      2.7623,      2.9442,
 RESP (Hz):                   ,    0.221975,            ,

Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   37.502345,            ,
  SD2 (ms):                   ,   94.733062,            ,
  SD2/SD1 ratio:              ,    2.526057,            ,
 Approximate entropy (ApEn):  ,      1.3847,            ,
 Sample entropy (SampEn):     ,      1.5038,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      1.2285,            ,
  alpha 2:                    ,      0.5560,            ,
 Correlation dimension (D2):  ,      4.1549,            ,
